,role,company_name,work_experience,location,skills,post_date,link
0,Sr Vice President- Analytics,VHR PROFESSIONAL SERVICES PRIVATE LIMITED    ,10-20 Yrs,"Singapore, Canada, United Kingdom (UK)","['Data Science', 'consulting', 'Artificial Intelligence', 'Data Management', 'Statistics', 'Analytics', 'Python', 'SQL']",Just Now,https://www.naukri.com/job-listings-sr-vice-president-analytics-vhr-professional-services-private-limited-singapore-canada-united-kingdom-uk-10-to-20-years-110521002190
1,Data Scientist Associate,VHR Professional Services,3-8 Yrs,"Singapore, Canada, United States (USA)","['Data Science', 'Data Engineering', 'Data Mining', 'Data', 'Engineering', 'Science']",Just Now,https://www.naukri.com/job-listings-data-scientist-associate-vhr-professional-services-singapore-canada-united-states-usa-3-to-8-years-070124001730
2,Data Scientist: Artificial Intelligence,IBM,3-7 Yrs,Bangalore/Bengaluru,"['Enterprise applications', 'Artificial Intelligence', 'Open source', 'Python', 'Investigation', 'Packaging', 'Data analytics', 'Data']",Just Now,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bangalore-bengaluru-3-to-7-years-270124900486
3,Process Analyst - Risk and Compliance,IBM,1-4 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Anti money laundering', 'Financial services', 'Due diligence', 'Document review', 'SAR', 'Process operations', 'Risk Compliance']",Just Now,https://www.naukri.com/job-listings-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-1-to-4-years-270124900479
4,Sr Process Analyst - Risk and Compliance,IBM,2-5 Yrs,Bangalore/Bengaluru,"['Data analysis', 'Anti money laundering', 'Financial services', 'Due diligence', 'Process operations', 'Data', 'Compliance', 'Process']",Just Now,https://www.naukri.com/job-listings-sr-process-analyst-risk-and-compliance-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-270124900478
5,Mis Executive,AUTOMOBILE DOCTOR INDIA,2-4 Yrs,"Noida, Uttar Pradesh, Faridabad, Haryana, Delhi / NCR","['MIS Development', 'MS Access', 'Advanced Excel', 'Management Information System', 'Excel Report Preparation', 'MIS Operations', 'MIS Reporting', 'Report preparation']",Just Now,https://www.naukri.com/job-listings-mis-executive-maruti-placement-service-noida-uttar-pradesh-faridabad-haryana-delhi-ncr-2-to-4-years-281223006407
6,Data Science-Data Designer,Accenture,5-10 Yrs,Kolkata,"['Data analysis', 'data science', 'Research', 'educational qualification', 'design research', 'solution development', 'Analysis', 'Design']",Just Now,https://www.naukri.com/job-listings-data-science-data-designer-accenture-solutions-pvt-ltd-kolkata-5-to-10-years-270124900358
7,Data Analysis & Interpretation-Security Delivery Lead,Accenture,5-10 Yrs,Bangalore/Bengaluru,"['Training', 'SEC', 'Data analysis', 'Security services', 'data privacy', 'global delivery', 'educational qualification', 'Analysis']",Just Now,https://www.naukri.com/job-listings-data-analysis-interpretation-security-delivery-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-270124900337
8,Industry Subject Matter Advisor,Accenture,5-8 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru","['Supply chain', 'Data analysis', 'Business analysis', 'Microsoft applications', 'SQL', 'Solution design', 'Microsoft', 'Design']",Just Now,https://www.naukri.com/job-listings-industry-subject-matter-advisor-accenture-solutions-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-5-to-8-years-270124900292
9,Data Analysis & Interpretation-Application Developer,Accenture,1-3 Yrs,Bangalore/Bengaluru,"['SAP', 'Datastage', 'Informatica', 'Data warehousing', 'SQL', 'Data analysis', 'Ab Initio', 'Python']",Just Now,https://www.naukri.com/job-listings-data-analysis-interpretation-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-1-to-3-years-270124900155
